Time[s], LCDData0, LCDData1, LCDData2, LCDData3, LCDRS, LCDE, LogAnStb
0.008003844, 0, 0, 1, 1, 0, 0, 1
0.008004156, 0, 0, 1, 1, 0, 1, 1
0.008004656, 0, 0, 1, 1, 0, 0, 1
0.008059500, 0, 0, 1, 1, 1, 0, 1
0.008059844, 0, 0, 1, 1, 1, 1, 1
0.008060344, 0, 0, 1, 1, 1, 0, 1
0.008061656, 0, 0, 1, 0, 1, 0, 1
0.008061969, 0, 0, 1, 0, 1, 1, 1
0.008062469, 0, 0, 1, 0, 1, 0, 1
0.008117312, 0, 0, 1, 1, 1, 0, 1
0.008117656, 0, 0, 1, 1, 1, 1, 1
0.008118156, 0, 0, 1, 1, 1, 0, 1
0.008119469, 0, 0, 1, 0, 1, 0, 1
0.008119781, 0, 0, 1, 0, 1, 1, 1
0.008120281, 0, 0, 1, 0, 1, 0, 1
0.008175156, 1, 0, 1, 1, 1, 0, 1
0.008175469, 1, 0, 1, 1, 1, 1, 1
0.008175969, 1, 0, 1, 1, 1, 0, 1
0.008177281, 1, 1, 0, 1, 1, 0, 1
0.008177625, 1, 1, 0, 1, 1, 1, 1
0.008178094, 1, 1, 0, 1, 1, 0, 1
0.008232969, 0, 1, 0, 0, 1, 0, 1
0.008233281, 0, 1, 0, 0, 1, 1, 1
0.008233781, 0, 1, 0, 0, 1, 0, 1
0.008235094, 1, 0, 0, 0, 1, 0, 1
0.008235438, 1, 0, 0, 0, 1, 1, 1
0.008235938, 1, 0, 0, 0, 1, 0, 1
0.008291438, 0, 0, 0, 1, 0, 0, 1
0.008291750, 0, 0, 0, 1, 0, 1, 1
0.008292250, 0, 0, 0, 1, 0, 0, 1
0.008293562, 1, 1, 1, 0, 0, 0, 1
0.008293906, 1, 1, 1, 0, 0, 1, 1
0.008294375, 1, 1, 1, 0, 0, 0, 1
0.008349219, 0, 0, 1, 0, 1, 0, 1
0.008349562, 0, 0, 1, 0, 1, 1, 1
0.008350063, 0, 0, 1, 0, 1, 0, 1
0.008351375, 0, 0, 0, 1, 1, 0, 1
0.008351688, 0, 0, 0, 1, 1, 1, 1
0.008352188, 0, 0, 0, 1, 1, 0, 1
0.008407031, 0, 1, 1, 0, 1, 0, 1
0.008407375, 0, 1, 1, 0, 1, 1, 1
0.008407844, 0, 1, 1, 0, 1, 0, 1
0.008409188, 1, 0, 1, 0, 1, 0, 1
0.008409500, 1, 0, 1, 0, 1, 1, 1
0.008410000, 1, 0, 1, 0, 1, 0, 1
0.008464844, 0, 1, 1, 0, 1, 0, 1
0.008465187, 0, 1, 1, 0, 1, 1, 1
0.008465688, 0, 1, 1, 0, 1, 0, 1
0.008467000, 0, 0, 1, 1, 1, 0, 1
0.008467344, 0, 0, 1, 1, 1, 1, 1
0.008467813, 0, 0, 1, 1, 1, 0, 1
0.008522687, 0, 1, 1, 0, 1, 0, 1
0.008523000, 0, 1, 1, 0, 1, 1, 1
0.008523500, 0, 1, 1, 0, 1, 0, 1
0.008524813, 0, 0, 1, 1, 1, 0, 1
0.008525156, 0, 0, 1, 1, 1, 1, 1
0.008525625, 0, 0, 1, 1, 1, 0, 1
0.008580500, 0, 1, 1, 0, 1, 0, 1
0.008580813, 0, 1, 1, 0, 1, 1, 1
0.008581313, 0, 1, 1, 0, 1, 0, 1
0.008582625, 1, 1, 1, 1, 1, 0, 1
0.008582938, 1, 1, 1, 1, 1, 1, 1
0.008583437, 1, 1, 1, 1, 1, 0, 1
0.008638281, 0, 1, 0, 0, 1, 0, 1
0.008638625, 0, 1, 0, 0, 1, 1, 1
0.008639125, 0, 1, 0, 0, 1, 0, 1
0.008640437, 0, 0, 1, 1, 1, 0, 1
0.008640781, 0, 0, 1, 1, 1, 1, 1
0.008641250, 0, 0, 1, 1, 1, 0, 1
0.008696125, 1, 0, 0, 1, 0, 0, 1
0.008696438, 1, 0, 0, 1, 0, 1, 1
0.008696938, 1, 0, 0, 1, 0, 0, 1
0.008698250, 0, 0, 1, 1, 0, 0, 1
0.008698594, 0, 0, 1, 1, 0, 1, 1
0.008699063, 0, 0, 1, 1, 0, 0, 1
0.008753969, 0, 0, 1, 1, 1, 0, 1
0.008754281, 0, 0, 1, 1, 1, 1, 1
0.008754781, 0, 0, 1, 1, 1, 0, 1
0.008756094, 0, 0, 1, 0, 1, 0, 1
